惯积岿,林具,荤绊扒荐,荤噶磊荐,吝惑磊荐,版惑磊荐,何惑脚绊磊荐
01,林,9588,90,2546,10464,792
01,具,6306,103,1690,6795,504
02,林,7575,78,2001,8228,657
02,具,4787,83,1300,4981,421
03,林,8322,96,2167,8783,600
03,具,5298,87,1473,5393,437
04,林,10472,112,2798,11475,961
04,具,6000,104,1680,6398,487
05,林,11749,136,3198,12531,1107
05,具,6316,99,1674,6676,586
06,林,10377,139,2746,11055,940
06,具,6104,92,1692,6396,600
07,林,10780,120,2802,11993,1032
07,具,6335,121,1697,6684,604
08,林,10360,124,2669,11560,953
08,具,6136,118,1632,6598,542
09,林,10799,146,2754,11810,967
09,具,6417,111,1694,6805,614
10,林,11590,168,3083,12795,1097
10,具,6918,117,1800,7384,616
11,林,10944,159,2838,11474,1017
11,具,6634,98,1706,7087,621
12,林,10416,133,2510,11547,920
12,具,6613,101,1565,7518,583
